Template A,Attribute A,Template B,Attribute B,Property A,Property B,Annotation,Notes (in case of confusion),Class A,Class B,Domain Property A, Domain Property B, Range Property A, Range Property B,C1,C2,C3a,C3b,M1,M2,M3,M4a,M4b,M5a,M5b,TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8,TB9,TB10,TB11
Infobox_military_person,serviceyears,Infobox_militair_persoon,dienstjaren,dbo:serviceEndYear,dbo:serviceStartYear,Wrong - should be the same,,dbo:MilitaryPerson,dbo:MilitaryPerson,dbo:MilitaryPerson,dbo:MilitaryPerson,xsd:gYear,xsd:gYear,0.1164,0.8836,0.8642,0.9849,464,54,410,401,457,464,464,0,0,1,0,0,1,0,0,1,0,0
Infobox_Single,Length,Infobox_single,Duur,dbo:runtime,dbo:playingTime,Correct as it is now,,,dbo:Single,dbo:Work,,xsd:double,xsd:double,0.7571,0.3429,0,0,70,53,24,0,0,70,70,0,0,0,0,0,0,0,0,1,0,0
Infobox_football_biography,height,Infobox_voetballer,wedstr(goals),dbo:height,dbo:goalsInLeague,Correct as it is now,,,dbo:SoccerPlayer,,dbo:SoccerPlayer,xsd:double,xsd:nonNegativeInteger,0.0089,0.8919,0,0.0013,5929,53,5288,0,8,5929,5929,0,0,0,0,0,0,0,0,0,0,0
Infobox_company,defunct,Infobox_bedrijf,opheffing,dbo:extinctionYear,dbo:activeYearsEndYear,Wrong - should be the same,,,dbo:Company,dbo:Species,,xsd:gYear,xsd:gYear,0.8095,0.2222,0,0,63,51,14,0,0,63,63,0,0,0,0,0,0,0,0,1,0,0
Infobox_French_commune,postal_code,Infobox_gemeente_Frankrijk,code,dbo:postalCode,dbo:inseeCode,Correct as it is now,,dbo:Settlement,dbo:Municipality,,dbo:Settlement,xsd:string,xsd:string,0.0014,0.9986,0.9986,0.929,36497,50,36447,36445,33904,36497,36497,0,0,0,0,0,0,0,0,1,0,0
Taxobox,status,Taxobox_vlinder,status,dbo:conservationStatus,dbo:status,Wrong - should be the same,,,dbo:Insect,dbo:Species,,xsd:string,xsd:string,0.5319,0.4681,0,0,94,50,44,0,0,94,94,0,0,0,0,0,0,0,0,1,0,0
Infobox_French_commune,INSEE,Infobox_gemeente_Frankrijk,postcode,dbo:inseeCode,dbo:postalCode,Correct as it is now,,dbo:Settlement,dbo:Municipality,dbo:Settlement,,xsd:string,xsd:string,0.0014,0.9986,0.9969,0.9986,34013,49,33964,33908,33965,34013,34013,0,0,0,0,0,0,0,0,1,0,0
Infobox_French_commune,elevation_min_m,Infobox_gemeente_Frankrijk,hoogteligging,dbo:minimumElevation,dbo:elevation,Correct as it is now,,dbo:Settlement,dbo:Municipality,dbo:Place,dbo:Place,xsd:double,xsd:double,0.96,0.96,0.96,0,50,48,48,48,0,50,50,0,0,0,0,0,1,0,0,1,0,0
Infobox_writer,period,Infobox_auteur,overleden,dbo:activeYearsEndYear,dbo:deathYear,Correct as it is now,,dbo:Writer,dbo:Writer,,dbo:Person,xsd:gYear,xsd:gYear,0.6184,0.3816,0.0132,0.2895,76,47,29,1,22,76,76,0,0,1,0,0,0,0,0,1,0,0
Infobox_French_commune,elevation_min_m,Infobox_gemeente_Frankrijk,inwoners,dbo:minimumElevation,dbo:populationTotal,Correct as it is now,,dbo:Settlement,dbo:Municipality,dbo:Place,,xsd:double,xsd:nonNegativeInteger,0.0013,0.9987,0.999,0,33904,45,33859,33869,0,33904,33904,0,0,0,0,0,0,0,0,0,0,0
Persondata,DATE_OF_DEATH,Infobox_artiest,jaren-actief,dbo:deathYear,dbo:activeYearsEndYear,Correct as it is now,,dbo:Person,dbo:MusicalArtist,dbo:Person,,xsd:gYear,xsd:gYear,0.8036,0.1964,0.1071,0,56,45,11,6,0,56,56,0,0,0,0,1,0,0,0,1,0,0
Infobox_musical_artist,years_active,Infobox_artiest,jaren-actief,dbo:activeYearsStartYear,dbo:activeYearsEndYear,Wrong - should be the same,,,dbo:MusicalArtist,,,xsd:gYear,xsd:gYear,0.0885,0.9012,0.6502,0.8251,486,43,438,316,401,486,486,0,0,0,0,0,0,0,0,1,0,0
Taxobox,synonyms,Taxobox_zoogdier,w-naam,dbo:synonym,dbo:scientificName,Correct as it is now,,,dbo:Mammal,,dbo:Species,xsd:string,xsd:string,0.0571,0.954,0,0,718,41,685,0,0,718,718,0,0,0,0,0,0,0,0,1,0,0
Infobox_person,years_active,Infobox_filmregisseur,overleden,dbo:activeYearsEndYear,dbo:deathYear,Correct as it is now,,dbo:Person,dbo:Person,,dbo:Person,xsd:gYear,xsd:gYear,0.2235,0.419,0.6313,0.1061,179,40,75,113,19,179,179,0,0,1,0,0,0,0,0,1,0,0
Infobox_musical_artist,years_active,Infobox_band,jaren_actief,dbo:activeYearsStartYear,dbo:activeYearsEndYear,Wrong - should be the same,,,dbo:Band,,,xsd:gYear,xsd:gYear,0.0571,0.9383,0.6932,0.9158,665,38,624,461,609,665,665,0,0,0,0,0,0,0,0,1,0,0
Infobox_bridge,open,Infobox_brug,bouwjaar,dbo:openingYear,dbo:buildingStartYear,Correct as it is now,,dbo:Bridge,dbo:Bridge,,dbo:ArchitecturalStructure,xsd:gYear,xsd:gYear,0.8409,0.6136,0,0,44,37,27,0,0,44,44,0,0,1,0,0,0,0,0,1,0,0
Infobox_French_commune,elevation_m,Infobox_gemeente_Frankrijk,inwoners,dbo:elevation,dbo:populationTotal,Correct as it is now,,dbo:Settlement,dbo:Municipality,dbo:Place,,xsd:double,xsd:nonNegativeInteger,0.0014,0.9986,0.9991,0.0018,26612,36,26576,26588,48,26612,26612,0,0,0,0,0,0,0,0,0,0,0
Drugbox,CAS_number,Infobox_geneesmiddel,CAS,dbo:casNumber,dbo:casSupplemental,Correct as it is now,,dbo:Drug,dbo:Drug,,,xsd:string,xsd:string,0.0797,0.0023,0.0524,0,439,35,1,23,0,439,439,0,0,1,0,0,0,0,0,1,0,0
Persondata,DATE_OF_DEATH,Infobox_militair_persoon,dienstjaren,dbo:deathYear,dbo:serviceEndYear,Correct as it is now,,dbo:Person,dbo:MilitaryPerson,dbo:Person,dbo:MilitaryPerson,xsd:gYear,xsd:gYear,0.2482,0.7447,0.4184,0,141,35,105,59,0,141,141,0,0,0,0,1,0,0,1,1,0,0
Infobox_French_commune,elevation_max_m,Infobox_gemeente_Frankrijk,inwoners,dbo:maximumElevation,dbo:populationTotal,Correct as it is now,,dbo:Settlement,dbo:Municipality,dbo:Place,,xsd:double,xsd:nonNegativeInteger,0.001,0.999,0.9991,0,33923,34,33889,33893,0,33923,33923,0,0,0,0,0,0,0,0,0,0,0
Infobox_station,opened,Infobox_spoorwegstation_Duitsland,start,dbo:openingYear,dbo:activeYearsStartYear,Correct as it is now,,dbo:Station,dbo:RailwayStation,,,xsd:gYear,xsd:gYear,0.9143,0.2286,0,0,35,32,8,0,0,35,35,0,0,0,0,1,0,0,0,1,0,0
Infobox_person,death_date,Infobox_artiest,jaren-actief,dbo:deathYear,dbo:activeYearsEndYear,Correct as it is now,,dbo:Person,dbo:MusicalArtist,dbo:Person,,xsd:gYear,xsd:gYear,0.6739,0.3261,0.1522,0,46,31,15,7,0,46,46,0,0,0,0,1,0,0,0,1,0,0
Infobox_military_conflict,combatant2,Infobox_militair_conflict,combatant2,dbo:combatant,dbo:participant,Wrong - should be the same,,dbo:MilitaryConflict,dbo:MilitaryConflict,dbo:MilitaryConflict,dbo:Event,xsd:string,xsd:string,0.0233,0.876,0,0.9837,1290,30,1130,0,1269,1290,1290,0,0,1,0,0,0,1,0,1,0,0
Infobox_military_conflict,combatant1,Infobox_militair_conflict,combatant2,dbo:combatant,dbo:participant,Wrong - should be the same,,dbo:MilitaryConflict,dbo:MilitaryConflict,dbo:MilitaryConflict,dbo:Event,xsd:string,xsd:string,0.0217,0.9419,0,0.9837,1290,28,1215,0,1269,1290,1290,0,0,1,0,0,0,1,0,1,0,0
Infobox_song,Length,Infobox_single,Duur,dbo:runtime,dbo:playingTime,Correct as it is now,,dbo:Song,dbo:Single,dbo:Work,,xsd:double,xsd:double,0.5385,0.5769,0,0,52,28,30,0,0,52,52,0,0,0,0,0,0,0,0,1,0,0
