Template A,Attribute A,Template B,Attribute B,Property A,Property B,Annotation,Notes (in case of confusion),Class A,Class B,Domain Property A, Domain Property B, Range Property A, Range Property B,C1,C2,C3a,C3b,M1,M2,M3,M4a,M4b,M5a,M5b,TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8,TB9,TB10,TB11
Geobox,district,Infobox_plaats_in_Slowakije,area,dbo:district,dbo:federalState,,,,dbo:Settlement,dbo:Place,dbo:Settlement,dbo:PopulatedPlace,dbo:PopulatedPlace,0.9901,1,0,0,809,801,809,0,0,809,809,0,0,0,0,0,0,0,1,1,0,0
Infobox_City,subdivision_name1,Infobox_gemeente_Spanje,regio,dbo:isPartOf,dbo:region,,,,dbo:Municipality,,,,dbo:Place,1,1,0,0,799,799,799,0,0,799,799,0,0,0,0,0,0,0,0,0,0,0
Infobox_City,subdivision_name1,Infobox_gemeente_Spanje,provincie,dbo:isPartOf,dbo:province,,,,dbo:Municipality,,dbo:Place,,dbo:Province,1,1,0,0,799,799,799,0,0,799,799,0,0,0,0,0,0,0,0,0,0,0
Infobox_City,subdivision_name2,Infobox_gemeente_Spanje,regio,dbo:isPartOf,dbo:region,,,,dbo:Municipality,,,,dbo:Place,1,1,0,0,799,799,799,0,0,799,799,0,0,0,0,0,0,0,0,0,0,0
Infobox_City,subdivision_name2,Infobox_gemeente_Spanje,provincie,dbo:isPartOf,dbo:province,,,,dbo:Municipality,,dbo:Place,,dbo:Province,1,1,0,0,799,799,799,0,0,799,799,0,0,0,0,0,0,0,0,0,0,0
Infobox_football_biography,currentclub,Infobox_voetballer,interlandteam,dbo:team,dbo:nationalTeam,,,,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.42,0.5693,0,0,1876,788,1068,0,0,1876,1876,0,0,0,0,0,0,0,0,1,0,0
Taxobox,ordo,Taxobox_reptiel,onderorde,dbo:order,dbo:subOrder,,,,dbo:Reptile,dbo:Species,dbo:Species,,,0.5725,0.9956,0,0.9978,1373,786,1367,0,1370,1373,1373,0,0,0,0,0,1,0,0,0,0,0
Taxobox,subordo,Taxobox_reptiel,onderorde,dbo:order,dbo:subOrder,,,,dbo:Reptile,dbo:Species,dbo:Species,,,0.571,0.7611,0,0.9978,1373,784,1045,0,1370,1373,1373,0,0,0,0,0,1,0,0,0,0,0
Infobox_film,screenplay,Infobox_film,schrijver,dbo:writer,dbo:author,,,dbo:Film,dbo:Film,dbo:Work,dbo:Work,dbo:Person,dbo:Person,0.2017,0.2627,0,0.2415,3867,780,1016,0,934,3867,3867,0,0,1,0,0,1,0,0,1,0,0
Infobox_stadium,location,Infobox_stadion,plaats,dbo:location,dbo:city,,,dbo:Stadium,dbo:Arena,,,dbo:Place,dbo:City,0.9593,0.8728,0,0,810,777,707,0,0,810,810,0,0,0,0,0,0,0,0,0,0,1
Infobox_football_biography,clubs9,Infobox_voetballer,huidigeclub,dbo:team,dbo:club,,,,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.0927,0.0973,0,0,8230,763,801,0,0,8230,8230,0,0,0,0,0,0,0,0,1,0,0
Infobox_musical_artist,label,Infobox_band,record_label,dbo:recordLabel,dbo:parentOrganisation,,,,dbo:Band,,dbo:Organisation,dbo:RecordLabel,dbo:Organisation,0.8708,0.8498,0,0,859,748,730,0,0,859,859,0,0,0,0,0,0,0,0,0,1,0
Infobox_UK_place,country,Infobox_plaats_in_Engeland,graafschap,dbo:country,dbo:county,,,dbo:Settlement,dbo:Settlement,,,dbo:Country,dbo:PopulatedPlace,0.1316,0.1781,0,1,5659,745,1008,0,5659,5659,5659,0,0,1,0,0,0,0,0,0,1,0
Taxobox,subphylum,Taxobox,stam,dbo:phylum,dbo:tribus,,,,dbo:Species,dbo:Species,dbo:Species,,dbo:Species,0.1707,0.1712,0,0,4329,739,741,0,0,4329,4329,0,0,0,0,0,1,0,0,0,0,0
Infobox_football_biography,clubs8,Infobox_voetballer,jeugdteams,dbo:team,dbo:youthClub,,,,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.2036,0.215,0,0,3591,731,772,0,0,3591,3591,0,0,0,0,0,0,0,0,1,0,0
Infobox_football_biography,clubs1,Infobox_voetballer,getraindeclubs,dbo:team,dbo:formerTeam,,,,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.5428,0.6825,0,0,1345,730,918,0,0,1345,1345,0,0,0,0,0,0,0,0,1,0,0
Infobox_football_biography,managerclubs2,Infobox_voetballer,club,dbo:managerClub,dbo:club,,,,dbo:SoccerPlayer,dbo:Athlete,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.4405,0.6159,0,0,1648,726,1015,0,0,1648,1648,0,0,0,0,0,1,0,0,1,0,0
Infobox_German_location,district,Infobox_plaats_in_Duitsland,subarea,dbo:district,dbo:region,,,,dbo:Settlement,dbo:Place,,dbo:PopulatedPlace,dbo:Place,0.8541,0.1459,0.0012,0,843,720,123,1,0,843,843,0,0,0,0,0,0,0,0,0,1,0
Infobox_musical_artist,birth_place,Infobox_artiest,land,dbo:birthPlace,dbo:country,,,,dbo:MusicalArtist,dbo:Person,,dbo:Place,dbo:Country,0.3385,0.9948,0.0009,0.111,2109,714,2098,2,234,2109,2109,0,0,0,0,0,0,0,0,0,0,1
Infobox_football_biography,managerclubs4,Infobox_voetballer,getraindeclubs,dbo:managerClub,dbo:formerTeam,,,,dbo:SoccerPlayer,dbo:Athlete,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.5612,0.5628,0,0,1258,706,708,0,0,1258,1258,0,0,0,0,0,1,0,0,1,0,0
Infobox_Italian_comune,region,Infobox_gemeente_Italië,mapname,dbo:region,dbo:map,,,dbo:Settlement,dbo:Municipality,,dbo:Place,dbo:Place,,0.8682,0.1318,0,0.1305,812,705,107,0,106,812,812,0,0,0,0,0,0,0,0,0,0,0
Infobox_single,Artist,Infobox_single,Schrijver,dbo:musicalArtist,dbo:writer,,,dbo:Single,dbo:Single,dbo:Single,dbo:Work,dbo:MusicalArtist,dbo:Person,0.4363,0.7154,0.716,0.6942,1609,702,1151,1152,1117,1609,1609,0,0,1,0,0,0,1,0,0,1,0
Infobox_single,Artist,Infobox_single,Schrijver,dbo:musicalBand,dbo:writer,,,dbo:Single,dbo:Single,dbo:Single,dbo:Work,dbo:Band,dbo:Person,0.4363,0.7154,0.716,0,1609,702,1151,1152,0,1609,1609,0,0,1,0,0,0,1,0,0,0,0
Infobox_film,producer,Infobox_film,schrijver,dbo:producer,dbo:writer,,,dbo:Film,dbo:Film,dbo:Work,dbo:Work,dbo:Agent,dbo:Person,0.2091,0.9242,0.8916,0.3628,3338,698,3085,2976,1211,3338,3338,0,0,1,0,0,1,0,0,0,0,1
Infobox_film,producer,Infobox_film,schrijver,dbo:producer,dbo:author,,,dbo:Film,dbo:Film,dbo:Work,dbo:Work,dbo:Agent,dbo:Person,0.2091,0.9242,0,0.3628,3338,698,3085,0,1211,3338,3338,0,0,1,0,0,1,0,0,0,0,1
Infobox_football_biography,clubs4,Infobox_voetballer,getraindeclubs,dbo:team,dbo:formerTeam,,,,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.5145,0.6312,0,0,1345,692,849,0,0,1345,1345,0,0,0,0,0,0,0,0,1,0,0
